Korean,German
헌신,"['verpflichtung', 'widmet', 'engagierten', 'hingabe', 'widmen', 'frömmigkeit', 'gewidmet', 'engagiert', 'zusage', 'ergebenheit', 'verehrung', 'geweiht', 'widmung', 'engagement', 'einweihung']"
멘토,['mentoren']
십자군,"['kreuzritter', 'kreuzzug', 'kreuzzüge']"
가운데,"['mittlerer', 'mittig', 'zentriert', 'mitte', 'mittlere', 'nahen']"
후보,"['benennungen', 'kandidaturen', 'anwärter', 'kandidaten', 'kandidat', 'beitrittskandidaten', 'bewerber', 'nominierungen', 'ernennungen']"
원주민,"['eingeborenen', 'einheimische', 'einheimischen', 'ureinwohner']"
소유,"['eigenen', 'eigene', 'gehört', 'eigenes', 'eigener']"
아날로그,"['analog', 'analogen', 'analoge', 'analoger']"
댄서,"['tänzerinnen', 'tänzerin', 'tänzer']"
입술,"['lippe', 'lippen']"
전치사,['präposition']
구조물,"['bauwerke', 'struktur', 'strukturen', 'gliederung', 'aufbau']"
출발,"['abfahrt', 'abflug', 'aufbruch', 'abweichen', 'abgang', 'abreise', 'abfahren']"
신념,"['überzeugung', 'vertrauen', 'glaubens', 'überzeugungen', 'ansichten', 'glaube', 'glauben']"
외할머니,"['oma', 'großmutter']"
축소,"['schrumpfen', 'schrumpft', 'reduzierung', 'zusammenbruch', 'reduzieren', 'psychiater', 'vergrößern', 'vergrößerung', 'verringern', 'verkleinern', 'zoomen', 'zusammenbrechen', 'einsturz', 'senken', 'kollaps', 'zusammenbricht']"
공존,"['koexistenz', 'zusammenleben']"
대구,"['kabeljau', 'csb']"
턱시도,['kiefer']
변속기,"['getriebe', 'weiterleitung', 'übertragung', 'übermittlung']"
은행,"['kreditinstitute', 'bankwesen', 'bankgeschäft', 'banken', 'bankgeschäfte']"
오븐,"['ofen', 'backofen']"
머스켓,['muskete']
프리랜서,"['freiberufliche', 'freiberufler', 'selbstständig']"
통신사,"['netzbetreiber', 'träger', 'fluggesellschaft']"
양식,"['vordruck', 'formulare', 'formular', 'formen']"
안식일,['sabbat']
다이버,['taucher']
장갑,"['handschuh', 'handschuhe']"
건너편,['quer']
캠핑,"['campingplatz', 'zelten', 'campingplätze']"
인도,"['indianer', 'indischen', 'indien', 'indischer', 'indische']"
산부인과,['geburtshilfe']
원조,"['hilfe', 'beihilfe', 'unterstützung', 'beihilfen', 'assistenz', 'hilfeleistung']"
이사회,"['vorstand', 'verwaltungsrat', 'aufsichtsrat', 'verpflegung']"
규정,"['vorschriften', 'regeln', 'verordnungen', 'verordnung', 'regelungen', 'bestimmungen', 'regulierung', 'regelung']"
간식,"['imbiss', 'snack']"
청량,"['sanft', 'weich', 'weicher', 'weiche']"
공산주의,['kommunismus']
모델링,"['modellieren', 'modellierung']"
구축함,['zerstörer']
프렌즈,"['freundinnen', 'freunde', 'freundeskreis', 'freunden']"
퍼센트,"['prozentsatz', 'anteil', 'prozentuale', 'prozent']"
접수,"['rezeption', 'empfang']"
플레인,['fackel']
스파크,['funken']
친척,"['verwandte', 'angehörigen', 'angehörige', 'verwandten', 'relativer', 'verwandtschaft', 'relativ']"
파울,['paulus']
직감,['gespür']
공책,"['notebook', 'hefte', 'notizbuch', 'heft']"
모터,"['kraftfahrzeug', 'kraftfahrzeuge']"
포옹,"['umarmung', 'umarmen', 'umarmt', 'umarmungen']"
샌디,"['sandstrand', 'sandstrände', 'sandstränden']"
전하,['gebühr']
원뿔,['kegel']
스왑,"['tausch', 'austauschen', 'tauschen', 'tausche']"
소실,['verschwinden']
만찬,"['abendbrot', 'abendessen']"
수박,"['wassermelonen', 'melone']"
태아,"['fötus', 'fetalen', 'föten']"
조이,"['lebensfreude', 'freude']"
가정교사,"['gouvernante', 'lehrerin', 'lehrer', 'tutoren', 'nachhilfe']"
포클랜드,['falklandinseln']
제한,"['restriktionen', 'beschränkungen', 'einschränkung', 'begrenzungen', 'einschränken', 'grenzwerte', 'grenze', 'beschränkung', 'begrenzen', 'grenzwert', 'grenzen', 'beschränken', 'einschränkungen', 'begrenzung']"
메뚜기,"['grashüpfer', 'heuschrecken']"
입찰,"['gebot', 'geboten', 'biete', 'gebote']"
낙지,"['tintenfisch', 'oktopus']"
공업,"['industrielle', 'industriell', 'industrieanlagen', 'industriellen', 'industrie']"
낭만,"['romantische', 'romantisches', 'romantisch', 'romantik', 'romantischen']"
계몽주의,"['aufklärung', 'erleuchtung']"
컨트리,['land']
절개,"['einschnitt', 'anschneiden', 'schnitt']"
상태,"['status', 'mitgliedstaat', 'bundesstaat', 'zustand', 'staat', 'bundesland']"
블런트,['stumpf']
피해자,"['unfallopfer', 'opfern', 'opfer']"
사육,"['zucht', 'züchtung', 'züchten', 'fortpflanzung', 'aufzucht']"
무역,"['handel', 'warenverkehr', 'außenhandel', 'handelspartner']"
상실,"['verluste', 'verlust']"
증언,"['zeugin', 'zeugnis', 'zeugenaussagen', 'zeugenaussage', 'bezeugen', 'aussagen', 'zeugen', 'aussage', 'zeuge']"
양털,"['woll', 'wolle']"
로지스틱,"['logistische', 'logistik']"
가이드북,['reiseführer']
미식축구,"['fußball', 'fußballspiel', 'fussball']"
보이,"['junge', 'jungen']"
고름,['eiter']
융합,"['kernfusion', 'schmelzen', 'geschmolzen', 'verschmelzung', 'verschmolzen']"
전송,"['versendet', 'verlegung', 'senden', 'überweisungen', 'gesendet', 'übertragung', 'schick', 'übermittlung', 'versandt', 'versenden', 'weiterleitung', 'übertragungen', 'verschickt', 'geschickt', 'schicken', 'abschicken', 'übertragen', 'getriebe', 'überweisung']"
견본,"['stichproben', 'probe', 'beispiele', 'muster', 'stichprobe', 'beispiel', 'proben', 'exemplar']"
연대기,"['chronologie', 'chronologisch', 'chroniken', 'chronik']"
체력,"['ausdauer', 'kraft', 'gesundheitsschutz', 'kräfte', 'gesundheitswesen', 'festigkeit', 'kondition', 'stärke', 'gesundheit']"
방위,"['verteidigungspolitik', 'verteidigungsministerium', 'abwehr', 'selbstverteidigung', 'verteidigung']"
보존,"['aufbewahrung', 'konservierung', 'naturschutz', 'erhaltung', 'bewahrung', 'bewahren', 'umweltschutz']"
굴뚝,"['kamin', 'schornstein', 'schornsteine']"
의학,"['arzt', 'medikament', 'arzneimittel', 'medizinische', 'medikamente', 'medizinisch', 'medizin', 'medizintechnik']"
허무주의,['nihilismus']
자원봉사자,"['freiwilligenarbeit', 'helfer', 'ehrenamtliche', 'freiwillige', 'freiwilligen', 'ehrenamtlich', 'freiwilliger', 'freiwillig']"
임상,"['klinische', 'klinischer', 'klinischen', 'klinisch']"
살균,"['unfruchtbar', 'sterilen', 'sterilisation']"
다면체,['polyeder']
단검,['dolch']
학술,"['tagebuch', 'akademiker', 'akademischen', 'akademisches', 'akademischer', 'akademische', 'zeitschrift', 'fachzeitschrift']"
서양인,['westliche']
쉬어,"['ausruhen', 'übrige', 'ruhe']"
정보,"['infos', 'informationen', 'auskunft']"
부화,"['schlüpfen', 'geschlüpft']"
번역자,"['dolmetscher', 'übersetzer', 'übersetzerin']"
스트리트,"['strassen', 'straße', 'straßen', 'strasse']"
적용,"['gilt', 'beantragen', 'bewerben', 'gelten', 'anwenden']"
연애,"['verhältnis', 'verabredungen', 'ausgehen', 'romantisches', 'beziehung', 'romantik', 'romanze', 'beziehungen', 'partnersuche', 'relationen']"
오르간,['orgel']
정찰,"['erkundung', 'aufklärung']"
배경,"['hintergrund', 'vorgeschichte', 'hintergründe', 'hintergrundinformationen']"
매주,"['woche', 'wöchentlichen', 'wochen', 'wöchentlich', 'wöchentliche']"
조산,"['vorzeitiger', 'verfrüht', 'vorzeitig', 'vorzeitige']"
완두콩,['erbse']
거대,"['giganten', 'gewaltig', 'riesigen', 'riesige', 'riesiger', 'riese', 'riesen', 'riesig']"
이메일,['emailadresse']
비행기,"['flugzeuge', 'flug', 'flugzeug']"
조롱,"['spott', 'hohn']"
족제비,['wiesel']
신청,"['gelten', 'beantragen', 'bewerben', 'anwenden']"
이후,"['seit', 'seitdem']"
화이팅,"['dienstags', 'dienstag']"
상점,"['filialen', 'geschäften', 'einkaufsmöglichkeiten', 'laden', 'läden', 'einkaufen', 'geschäfte', 'geschäft', 'speichern']"
허가서,"['konzession', 'lizenz', 'lizenzen', 'führerschein']"
헤더,"['überschriften', 'header', 'kopfzeile', 'heide', 'überschrift']"
소방관,"['feuerwehrmann', 'feuerwehr']"
항만,"['hafens', 'hafen']"
해석학,"['analysen', 'analytik', 'analyse', 'auswertung', 'analytische', 'analytischen']"
사용법,"['verwendung', 'nutzung', 'gebrauch', 'einsatz', 'benutzung']"
민족,"['völkern', 'völker', 'bevölkerungen']"
불편,"['unwohl', 'unangenehm', 'unannehmlichkeiten', 'lästig', 'unbequem']"
파이프,"['röhre', 'pfeifen', 'pfeife', 'leitungen', 'rohr', 'rohre', 'rohrleitungen', 'röhren']"
천연,"['natürliche', 'natürlichen', 'natürliches', 'natürlicher']"
화가,"['sauer', 'verärgert', 'wütend', 'maler', 'böse', 'zornig', 'malerin']"
돌연변이,"['mutanten', 'mutationen']"
보안관,"['polizei', 'sheriffs']"
칼럼,"['kolumne', 'stützen', 'spalten', 'säulen', 'säule', 'spalte', 'kolonne']"
난방,"['heizen', 'klimaanlage', 'zentralheizung', 'wärme', 'heizung']"
손수건,"['taschentücher', 'taschentuch']"
좌표계,['koordinaten']
부등식,"['ungleichbehandlung', 'ungleiche', 'ungleichheiten', 'ungleich', 'ungleichheit']"
