word,selected_sentence,sentence_length,original_frequency
inertia,An antipathetic duality contains a positive and a negative term: life / death; movement / inertia; good / evil etc.,20,13
ethos,"He revises Hegelian dialectics, accused explicitly by Noica of being dominated by the ""ethos of neutrality"".",16,13
pediatrics,Training for pediatric endocrinology consists of a 3-year fellowship following completion of a 3-year pediatrics residency.,16,13
headstone,"His grave is in the Beth Haim of Ouderkerk aan de Amstel, and remains intact (headstone and gravestone).",18,13
transducer,Ball bonding transducer Piezoelectric transducers are used to provide ultrasonic energy in the ball bonding process.,16,13
encyclopedia,"Who's who in the Soviet Union: a biographical encyclopedia of 5,000 leading personalities in the Soviet Union.",17,13
seaweed,"On hard shores sometimes found in the holdfasts of seaweed, especially Macrocystis sp.",13,13
paranoia,"They were also concerned with Devin's paranoia, after Devin suggested that Donny was an intimidating force to be reckoned with.",20,13
charger,"Los Angeles reached the Charger 45, from where Evans' final pass was incomplete in the end zone as time expired.",20,13
dispensation,"In 1936, Seán O'Kelly married his late wife's younger sister, Phyllis Ryan, after gaining a papal dispensation to do so.",20,13
brochure,Rusty Young learned of Dunn through a brochure he chanced upon while in Oklahoma during Poco's 1973 tour.,18,13
windshield,The roofline swept from the windshield to the rear bumper in one smooth curve.,14,13
laugh,"Kirby Maurier) Wiz Khalifa - Laugh Now, Fly Later 04.",10,13
manpower,"Finns were exempt from conscription, and thus there was available manpower for fortification works.",14,13
cytoplasm,"They have four transmembrane domains, with the N-terminus and the C-terminus in the cytoplasm.",14,13
perfect,"(In the perfect tense, the subject-marker for 'he, she' is : 'he has gone'.)",14,13
stove,The galley is equipped with a two-burner stove and a double sink.,12,13
reformation,The paintings were never over painted during the Reformation but later during the Age of Enlightenment.,16,13
foreman,In the second half of 16th-century foreman Jan Lutomierski remodeled the culmination of the walls on the eastern part.,19,13
folktale,"Greece The tale type registers 19 variants in Greece, according to the Greek Folktale Catalogue.",15,13
ballast,"She left Hamburg for the UK, in ballast, and was wrecked on 3 September 1921, on Knivestone, Farne Islands.",19,13
bequest,A bequest from her estate established the Electra Carlin Endowment to fund exhibitions of Texas artists at Texas Christian University.,20,13
immature,"Often, Kōdai is beaten by Sunao for his immature behavior.",10,13
cadre,It drew its initial cadre from the 21st Bombardment Group.,10,13
vary,"The legal restrictions on the exercise of that power are not specified in the Quran or the Hadiths, and vary.",20,13
descending,"Calls of both subspecies include ""a high-pitched 'seeek' and a descending stuttering series.""",13,13
sportscaster,"He is currently a television sportscaster for NBC, Showtime, and the NFL Network, and winner of 17 Sports Emmy Awards.",20,13
cotta,It features -story buff brick arched bays and orange terra cotta ornamentation.,12,13
tonne,The propellent load of 14.7 tonne allowed the engine to burn for 945 seconds while providing 6.5 tonne of thrust.,20,13
mailing,Few residents in Oceanport use Port-au-peck as a mailing address.,10,13
respiration,"Bioremediation of chloroform Some anaerobic bacteria use chloroform for their respiration, termed organohalide respiration, converting it to dichloromethane.",18,13
priestess,"Through the lesbian priestess Wanda, Varga seeks revenge by eliminating the families of her torturers.",15,13
wrath,Wrath is the sixth studio album by American heavy metal band Lamb of God.,14,13
fairness,This involves the consideration of aspects of equity and fairness between countries as well as other methodological choices.,18,13
gynecology,"In 1948 he returned to Brooklyn, where he completed his residency in obstetrics and gynecology at Cumberland Hospital.",18,13
spinoff,"In 2005 Kung Fu also spawned the spinoff label Broken Sounds Records, focusing on hardcore releases.",16,13
lithium,"Nucleophilic vinyl reagents Vinyl lithium and vinyl magnesium bromide are sources of """", which add to ketones and aldehydes.",19,13
hostel,The hostel complex is situated inside the Mahendra combined campus only.,11,13
virginity,"For example, in the Boop-Oop-a-Doop cartoon, it is thought that the word is used as a substitute for ""virginity"".",19,13
centimeter,Each flower is under a centimeter long and purple or bluish in color.,13,13
diffuse,The spiral arms are patchy and diffuse and their inner part forms a pseudoring.,14,13
predatory,"As these structures are unique to predatory and scavenging arthropods, this form of preservation is limited to—and diagnostic of—such creatures.",20,13
lymphoma,"Information in the pairings In the 1970s, it was conjectured that retaining one's tonsils might protect against Hodgkin's lymphoma.",19,13
flautist,"Dorothy Antoinette Handy-Miller (1930 – 2002) was an American flautist, music scholar, arts administrator, and writer.",16,13
bradykinin,"Also, valsartan does not affect the metabolism of bradykinin like ACE inhibitors do.",13,13
covering,Marsh interpreted the plates of Stegosaurus as an armored covering and its spines as natural weapons.,16,13
emir,(This can be by individuals to an emir or by a local group to a transglobal group.),17,13
surfer,"Colton (voiced by Gage Fensler) Josh ""Bagel"" Klassman (voiced by himself), a professional skater, surfer, and photographer.",17,13
amine,"Antibodies will also trigger vasoactive amine degranulation to contribute to immunity against certain types of antigens (helminths, allergens).",18,13
edits,"The staff collect and check sources, performing technical edits and checking for typographical errors.",14,13
fledgling,"Bojić's father and grandfather were born in Semlin, and were good-standing members of the town's fledgling Serb community.",18,13
vigilante,"The following is a list of stories featuring The Shadow, a fictional vigilante.",13,13
robe,"Meaning E. S. Drower (1960) translates the literal Aramaic meaning of mana as 'a garment, robe, vehicle, vessel, instrument'.",19,13
needle,"Also made to withstand Category 5 hurricane-force winds, the Space Needle sways only per of wind speed.",17,13
discontinuation,RCA announced the console's discontinuation in February 1978 because of low Christmas sales.,13,13
centennial,"The statue was erected in 1958 to commemorate Hong Kong's centennial, and replaced one depicting Arthur Kennedy.",17,13
chili,"See also Cincinnati chili, a Midwestern style of chili often served piled high.",13,13
vinegar,"Sekanjabin (), one of the oldest Iranian drinks, is made of honey and vinegar.",14,13
ionosphere,"As a result, solar wind and cosmic radiation interacts directly with the Martian ionosphere.",14,13
erythematosus,Studies find that the CMTM5 gene in the DNA isolated from the blood of individuals with the autoimmune diseases of systemic lupus erythematosus and primary Sjögren's syndrome (i.e.,28,13
hijacking,She hitchhiked to a gas station and from there alerted the authorities to the hijacking.,15,13
bedtime,"Bruce's short a capella bedtime song, ""Pony Girl"" was added, as was the scene ""A flair for the dramatic..."".",19,13
physique,"Further, a degree of hirsuteness (hairiness) and a waist-to-shoulder ratio of 0.6 is often preferred when combined with a muscular physique.",21,13
connecting,The term piston rod has been used as a synonym for 'connecting rod' in the context of these engines.,19,13
supernova,Barnard's Loop is believed to be the remnant of the supernova that launched the other stars.,16,13
adversity,"In the midst of adversity, sometimes they organized football matches between ""war prisoners"" versus ""the guardians"".",16,13
coquette,"The frilled coquette (Lophornis magnificus) is a species of hummingbird in the ""coquettes"", tribe Lesbiini of subfamily Lesbiinae.",18,13
rancher,"Harold Martens, 81, Canadian rancher and politician, Saskatchewan MLA (1982–1995).",10,13
evasion,"This might improve its predator evasion, whilst improving its food intake.",11,13
allotment,"She campaigned for public health and for the formal, legal allotment of land to members of the Omaha tribe.",19,13
transliteration,This must necessarily entail arduous of transliteration and translation which might well be daunting.,14,13
barrow,"The hillfort, along with an adjacent bowl barrow, lime kiln and quarry, constitutes a Scheduled Ancient Monument.",17,13
bourgeois,"These suburbs were what historian Kenneth T. Jackson called the ""railroad suburbs"" and historian Robert Fishman called a ""bourgeois utopia"".",20,13
magmatism,"Rift magmatism Some large layered complexes are not related to mantle plumes, for example, the Skaergaard intrusion in Greenland.",19,13
tuning,"Today, his name is associated with the ""Rydel-Seiffer tuning fork"", an instrument used for monitoring and diagnosis of nervous disorders.",20,13
middleweight,"A two-time world champion, Rockhold also won the Strikeforce Middleweight Championship.",11,13
catfish,"There are a number of fish that are less adept at actual walking, such as the walking catfish.",18,13
metallurgy,"The Chavín culture also demonstrated advanced skills and knowledge in metallurgy, soldering, and temperature control.",15,13
palate,Like in Ysengrinia americana and some temnocynines the palate is cadually expanded beyond the molars.,15,13
noir,"During their studies, the Césaires were both part of the editorial team of the militant journal L'Étudiant noir.",18,13
ox,"See also Chuckwagon Oxbow Ox-wagon References External links ""Conestoga Wagon Time-Lapse"".",11,13
luger,Andris Šics (born 12 May 1985) is a Latvian luger.,10,13
let,"Fix a point z0 in D, and for any , let be a piecewise C1 curve such that and .",20,13
magnum,The .458 Winchester Magnum and the .458 Lott have a and MPBR respectively in comparison.,15,13
violet,"The forewings are glossy violet fuscous, with an ochreous tinge towards the hind margin.",14,13
preceding,"There were two candidates, referred to in the literature as the ""north following"" and ""south preceding"" stars.",17,13
intimacy,"These theorems include constructs of nonverbal expression, perceived similarity, liking, information seeking, and intimacy, and their correlations to one another.",20,13
aura,"Kogaionon magazine called it a mature and complex album ""with a medieval and ... forceful aura"".",16,13
diagnostics,At Corning Schoemaker rapidly progressed from being a specialist in immunoassay development for diagnostics to heading research and development.,19,13
immunology,"Research into MS encompasses immunology, neurobiology, genetics, and epidemiology, and extends across clinical and allied health disciplines.",17,13
tallest,"Gallery See also List of tallest buildings in Calgary Jamieson Place, a residential neighbourhood in west Edmonton, Alberta.",18,13
embroidery,The Teluk Belanga style has no collar and the neckline is stitched in various forms of embroidery.,17,13
scorpion,Centruroides nigrimanus is a species of scorpion in the family Buthidae.,11,13
contemplation,"After a year of grieving and contemplation, Seema Weatherwax stepped into public life in her own right.",17,13
duality,"Now, each sympathetic duality produces a third term, through which the dualism is overcome.",14,13
pendant,"Following the ensign's institution, a commissioning pendant and naval rank flags were also introduced.",14,13
warm,"Mashable called the show a ""warm, sunny, and soft"" and praised the show's pacing, wittiness, humor, and the voice cast.",20,13
hulk,"Used as a storage hulk at Guantanamo Bay, Cuba from 1970.",11,13
hang,Lotus lanterns hang in temples throughout the month and lanterns are hung in homes and in the streets.,18,13
oyster,Numerous artifacts from the tribe continue to be found along Wicker's Creek in oyster middens.,15,13
liberalization,"However, the Shah made clear that once martial law was lifted, he intended to continue with the liberalization.",18,13
dolphin,"Orca is another name for a killer whale, the world's biggest dolphin species.",13,13
rev,"Editions Translations Thomas Francklin, 1759 – verse Edward H. Plumptre, 1865 – verse: full text at Wikisource, rev.",18,13
converter,PanCam Interface Unit and DC-DC converter (PIU and DCDC) to provide a single electronic interface.,15,13
brownii,"Medicinal uses Traditional Chinese medicine list the use of the following: 野百合 Lilium brownii, 百合 Lilium brownii var.",18,13
hardness,"The hardness is about 5-5.5, and the specific gravity is 2.84.",11,13
librarianship,"General influence Overall, and beyond his specific accomplishments, Clapp influenced librarianship generally, guiding the profession towards practical applications and solutions.",20,13
scab,The primary form of regulation for peach scab requires frequent applications of commercial fungicides.,14,13
honest,"Within the mass of ideologists with philosophical pretensions, several figures detach though as honest philosophers.",15,13
pull,"The engine continued to occasionally ""pull"" the train while pushed by a diesel until 1991.",15,13
hypervectors,Operations HDC can combine hypervectors into new hypervectors using well-defined vector space operations.,13,13
barbecue,"In 1999, the Texas Legislature proclaimed Lockhart the ""Barbecue Capital of Texas""; Lockhart has four major barbecue restaurants.",18,13
remodeling,"The store recently got a remodeling, and a Tim Hortons.",10,13
occidentalis,A Jamaican variety has been named (as Plectania occidentalis var.,10,13
appliance,"This glassware was produced under the name of the appliance manufacturer, and included the major manufacturers of the time.",19,13
contributes,"The American political environment contributes to the main story conflict, as well as the interaction between Kathy and John.",19,13
valence,The shielding theory also contributes to the explanation of why valence-shell electrons are more easily removed from the atom.,19,13
trainsets,In May 2016 NS announced that Alstom had won a contract for around 80 trainsets.,15,13
jug,"During the five years they were together, the Jug Band successfully modernized the sounds of pre–World War II rural music.",20,13
bioinformatics,Several methods have been presented for computational design of antibodies based on the structural bioinformatics studies of antibody CDRs.,19,13
categorization,"Some groups also display properties of both OB and T associations, so the categorization is not always clear-cut.",18,13
suffragette,Marie Naylor (1856 – 1940) was a British artist and militant suffragette .,13,13
leaseback,Leaseback is very often used in commercial aviation to essentially take back the cash invested in assets.,17,13
sleeper,"The station is served by both local and long-distance trains, including the Night Riviera sleeper service.",16,13
apostle,"His father's sister, Leonora Cannon, had married future Latter Day Saint apostle John Taylor and was baptized in 1836.",19,13
scattering,Another unusual feature of the ground state excitons is that all primary scattering mechanisms are known quantitatively.,17,13
headroom,The main cabin headroom is also and the fresh water tank has a capacity of .,16,13
token,"Sue takes the token as a joke, and storms into the house to confront Maud, half-mad with rage.",18,13
nevadensis,"For example, although some populations of C. nevadensis can live in water that ranges between , they only breed from .",21,13
cognitive,Mammals Humans possess possibly the highest level of cognitive function on earth.,12,13
waviness,The standard waviness criteria shows the critical wave height to be for this application.,14,13
penthouse,"The markedly revised revue now had a slight plot: At an all-night, black-tie party in a penthouse.",17,13
nostalgia,"They further wrote that ""each component of the song contains a clear melody, evoking overwhelming nostalgia and longing.""",18,13
sausage,"Another distinctive local dish is ajiharina, a porridge of flour, potatoes, and pieces of guarra, a regional sausage.",18,13
discontinuity,"Moreover, revolution is a notion implying sudden discontinuity and movement to a new regime.",14,13
fundamentalist,"Shariatmadari rejects the labels ""conservative"" and ""fundamentalist,"" which he had said ""...make us sound like the Taliban.""",17,13
filler,The wing was then sprayed with two coats of primer paint and a coat of paint type filler.,18,13
swelling,"This infection is first observed by the fast swelling of seedling roots, but displays no further signs of infection.",19,13
nella,"In Nicola Forte: ""Viaggio nella memoria persa del Regno delle Due Sicilie"", ed.",13,13
mace,"Weapons include iron and fire-elemental swords, a spiked mace, twin axes, and the Soul Reaver, a two-handed flamberge.",18,13
plesiosaur,"(2021), representing the first record of a Lower Cretaceous plesiosaur from Chile.",12,13
alkaline,"can achieve a three to five year battery life with “AA” or ""AAA"" alkaline cells.",15,13
maxi,"The anime's opening theme was by Mosaic.wav; the maxi single containing the opening theme was released on July 25, 2007, by Lantis.",22,13
ghat,Karul Ghat descends towards Vaibbhavwadi and is 19 km in length.,11,13
scan,"NTSC runs at a different frame rate from PAL video, and has a different number of scan lines.",18,13
wellness,"The Wheel of Wellness includes five interrelated life tasks: spirituality, self-direction, work and leisure, friendship, and love.",17,13
impresario,"Friedrich Horschelt (14 April 1793, Cologne - 9 December 1876, Munich) was a German ballet master and impresario.",18,13
boldface,"Punctuation style usage, including exclamation points and boldface type, bring the reader's attention to key items in the text.",19,13
nasal,"At 50 ppm acetaldehyde, no irritation or local tissue damage in the nasal mucosa is observed.",16,13
scapular,"Use of scapular ""Roman"" chasubles, whether with straight edges or in ""fiddleback"" form, is often associated with traditionalism.",18,13
ou,"""L'homme ou la bête, un irritant problème"" in The Playing Card Journal, Vol 16, Aug 1987-May 1988.",17,13
stuffed,Cordon bleu șnițel (made from pork loin stuffed with cheese and ham) is also very popular.,16,13
dybbuk,"Upon further examination on the box, Tzadok learns that the dybbuk's name is ""Abyzou"", or ""Taker of Children"".",18,13
submit,"Generally, chapters are placed on probation for failing to submit required paperwork.",12,13
wildfire,50 properties in the Carrbrook area of Stalybridge were evacuated on 26 June as the wildfire advanced towards them.,19,13
predilection,"She had a predilection for the black and white, which provided her photographs with a special expression.",17,13
capo,The movement combines the strict da capo A–B–A form of an aria with the ritornello structure of a concerto.,19,13
robustness,"(The acronyms expanded include every acronym which appears in the BPDG's Draft Compliance and Robustness Rules, among others.)",18,13
coxswain,– Australian representative coxswain at 14 years of age at the 1954 Commonwealth Games.,14,13
sixty,"On 2 August, the Germans executed sixty of the insurgents who had been captured in the brick-yard in Pęcice.",19,13
phonetics,"In phonetics and phonology, an intervocalic consonant is a consonant that occurs between two vowels.",15,13
consumerism,"""Catering to Consumerism: Associated American Artists and the Marketing of Modern Art, 1934-1958.""",13,13
poetics,"Co-producer Leonard Chang suggested that the series could apply Aristotle's Poetics for the scene, highlighting the motivations of the characters.",20,13
dynamite,"Some bubbles also contain dynamite, which will detonate either by igniting or by being pushed towards a target.",18,13
bogie,"Specifications Kristine Valdresdatter was a three-axle railcar, with a bogie at the front and a carrier axle at the back.",20,13
columella,The shell lacks a columella tooth or teeth on the outer lip.,12,13
homemade,"Joyce Weisbecker, the daughter of the console's designer, learned how to program her father's homemade home computer as a child.",20,13
reveal,"Bulbbul's reveal as the chudail frames her like a goddess, specifically like Kali.",13,13
rapist,"Rambo Kolawski, who played the role of the rapist, has also appeared in the next video, ""Libertine"".",17,13
bindu,"The text includes the contradictory goals of raising Bindu, inherited from the Amritasiddhi, and of raising Kundalini, inherited from the Kubjikamatatantra.",21,13
enthusiast,"May 5, 2016: “Does Fishing Mean Anything?” by Thomas McGuane, angling enthusiast and award-winning author.",15,13
bracelet,"He won the 1982 World Series of Poker Main Event, earning $520,000 and a second WSOP bracelet.",17,13
mediocre,"In other words, through their mediocre and deceitful practices, these sophists give a bad reputation to all teachers of oratory.",20,13
dit,"Saa(ng)geus nyaur sakitu, i(n)dit birit su(n)dah diri, lugay sila su(n)dah leu(m)pang.",11,13
comprises,The first floor comprises seven bedrooms where the Nizam lived with his wife and children.,15,13
pressing,The first pressing had been released by De profundis éditions in March 2009.,13,13
extant,"There are five known species in the genus, with only one being extant, the California condor.",16,13
profitability,Severe competition following the building of excess container shipping capacity by many companies badly affected ML's trade and profitability.,19,13
historique,It has been listed since 1898 as a monument historique by the French Ministry of Culture.,16,13
elastomer,"Elastomers Mays' elastomer research has focused on the synthesis, tensile characteristics and morphological attributes of tetra-functional multigraft copolymers.",18,13
impeachment,Her impeachment trial was held before the Missouri Supreme Court.,10,13
thorax,"The thorax, tegulae and forewings are uniform shining fuscous with strong blue to violet reflections.",15,13
pulmonate,"Polydontes acutangula is a species of air-breathing land snail, a terrestrial pulmonate gastropod mollusk in the family Sagdidae.",18,13
oldest,"Størmer substituted the name for the next oldest available non-preoccupied synonym, Carcinosoma.",12,13
interlude,"France interlude At just 24 years of age, in 1742, Demarco went to France to pursue a medical degree.",19,13
mirzayani,"Taxa named in honour of Hayk Mirzayans Laemostenus (Antisphodrus) mirzayani (Morvan, 1973) (Coleoptera: Carabidae) Peryphus mirzayani Morvan, 1973 (Coleoptera: Carabidae) Pristonychus mirzayani Morvan, 1974 (Coleoptera: Carabidae) Psammodromius mirzayani Morvan, 1977 (Coleoptera: Carabidae) Trechus mirzayani Morvan, 1974 (Coleoptera: Carabidae) Tituboea mirzayani (Lopatin, 1985) (Coleoptera: Chrysomelidae) Calydus mirzayani Kaszab, 1968 (Coleoptera: Meloidae) Mylabris (Argabris) laticollis ab.",54,13
loggia,A loggia was added to the Sydney Opera House in 2006.,11,13
menorah,2008 A menorah design was used in 2008 for a forever stamp issued jointly with Israel Post.,17,12
lipid,Lysochromes such as Sudan IV dissolve in the lipid and show up as colored regions.,15,12
brevet,"From 1903 until 1907 Peyton commanded the 15th Hussars, being granted the brevet rank of colonel in 1905.",18,12
vacante,"(24 May 1824 – 11 Apr 1825) Sede vacante (1825–1828) Giuseppe Maria Botticelli, O.F.M.",14,12
focusing,See also Abram Alikhanov Quadrupole magnet Strong focusing References External links U-70 accelerator branch.,14,12
listen,"Gypsy's work has held up very well compared to most albums from this era, and is still a delightful listen.""",20,12
astrophysicist,"Kathy Vivas, astrophysicist recognized for her investigations of and finding up to 100 new and very distant RR Lyrae stars.",20,12
astrophysics,"Two years later, he joined the Department of Astrophysics of University of Göttingen.",13,12
tu,"However, the form jo is used with some prepositions, for example, in segons jo (""according to me""), and in coordinated structures with another noun or pronoun: contra tu i jo (""against you and me"").",34,12
remit,"Restrictions on civil rights In January 1940, the remit of the Prague Central Office was extended to the entire Protectorate.",20,12
deliberation,Hanway was acquitted by the jury after 15 minutes of deliberation.,11,12
infinitum,The H-machine probably just prints copies of itself ad infinitum across blank tape.,13,12
deanery,It is part of the Nord-Helgeland prosti (deanery) in the Diocese of Sør-Hålogaland.,13,12
occult,"He was known for his two programs devoted to the occult sciences, parapsychology, and traditional African religions.",17,12
ho,"Veient-ho des de fora, analitzant-ho objectivament (""Seeing it from an outsider's point of view, analyzing it objectively"") Vés-hi i espera'm.",20,12
musket,"Rojas received a musket shot in the leg, but survived.",10,12
chorister,"Before taking up folk music, the young Martin Carthy was a chorister here.",13,12
laevigatum,"There is an undescribed species in Amylostereum; according to DNA analysis, it stands between A. laevigatum and A. ferreum.",19,12
jargon,"E. sphaericus thus has two authors, rendered auctorum multorum in taxonomic jargon.",12,12
footing,Boosted by player 'guest' appearances Dumbarton could just about compete on an equal footing with the 'bigger' clubs.,18,12
stagnation,Agriculture returned to growth under Illia after over two decades of stagnation.,12,12
licensee,"In December, eight employees filed to force the licensee into involuntary bankruptcy over $2,500 they were owed in back wages.",20,12
oregon,"The Markle–Pittock House is a historic house located in southwest Portland, Oregon listed on the National Register of Historic Places.",20,12
swim,Free swim and free boating are open to everyone at scheduled times during the week.,15,12
aversion,Tribesmen try to conserve what they have inherited and show aversion to change in the older order of things.,19,12
investiture,"Marlborough had to meet the cost of investiture, which was reduced to £4,500 from the usual £12–15,000.",17,12
cladogram,"The below cladogram shows the order Diadectomorpha, modified from Heaton (1980).",11,12
touchback,The ball went into the end zone for a touchback so Penn State took over on their 20-yard line.,19,12
suborder,The Cyproniscidae are a family of marine isopod crustaceans in the suborder Cymothoida.,13,12
acknowledgement,"Conway has described the album title as an acknowledgement of ""all that God has blessed [him] with"" during his career.",20,12
obverse,Obverse The obverse of the medal depicts the reigning monarch.,10,12
tabernacle,"Between 1951 and 1952, the tabernacle from the cathedral of Miranda do Douro were moved and adapted to the church.",20,12
drospirenone,"Examples of progestins of each of these subgroups include medroxyprogesterone acetate, dydrogesterone, nomegestrol acetate, and drospirenone, respectively.",17,12
byproduct,"Instead, most firewood is byproduct of other uses of wood.",10,12
interoperability,"Metadata-driven interoperability As SAML technology has matured, the importance of SAML metadata has steadily increased.",15,12
methacrylate,"These derivatives include ethyl methacrylate (EMA), butyl methacrylate (BMA) and 2-ethyl hexyl methacrylate (2-EHMA).",14,12
pineapple,Jay G says Homer has proven himself and plies him with an unending supply of cobblers (including pineapple).,18,12
mixer,"Tristin Norwell is a British music composer, producer, mixer, arranger, and musician.",12,12
glans,The circumference of the corona is richly innervated and is described as a highly erogenous area of the glans.,19,12
closeness,Their closeness raises doubts in Satya about Sudip and Bulbbul's relation.,11,12
extractor,The thimble is loaded into the main chamber of the Soxhlet extractor.,12,12
provocation,"The killer was found not guilty of murder and manslaughter on the grounds of ""provocation"".",15,12
increment,"On the other hand, if D deems ADRLD satisfactory then H will increment R to 6.",16,12
hadith,Sunnis regard this collection as fourth in strength of their six major hadith collections.,14,12
iheartmedia,"WSNX-FM (104.5 MHz ""104-5 SNX"") is a top 40 (CHR) radio station located in iHeartMedia's Grand Rapids, Michigan headquarters.",19,12
yuri,"June 10 - Yuri Budanov, 47, Russian military officer and war criminal, shot.",13,12
modernism,"The book has been described by critics as a ""shining example of literary modernism"".",14,12
planner,"A nine-member expert committee was appointed, including the prominent engineer and planner, Sir John Butters, as chairman.",17,12
bartender,This prompted the bartender to provide them with instructions to wait after the show for a special event.,18,12
steeple,"The cross was placed into storage, while the lower sections of the steeple (e.g.",14,12
tray,A discarded 4 x 4 truck tray has been dumped on part of the floor.,15,12
hedgehog,"Plans, however, were disrupted by the 2008 financial crisis, at which point hedgehog lab switched to a digital agency model.",20,12
bankrupt,The Poole merchant firm of Spurriers had operations there but went bankrupt in 1830.,14,12
originale,L'Estampe originale was a French periodical publishing portfolios of original prints in a limited edition of 100 for subscribers.,19,12
insurer,"""[W]e would be strapped for funds,"" he said, even if the insurer offered them to the museum at a discount.",20,12
budding,"If the temperature is too warm, premature budding may result.",10,12
forearm,"The tattoo on Drake's forearm says ""Aces"" and he realizes that Drake was the sergeant from the night raid.",19,12
tympanum,There is a brown band from behind the eye to above the tympanum.,13,12
rose,Sandrine Holt and Darrin Rose also appear in supporting roles.,10,12
accretion,These efforts observed the zone of crustal accretion aligned along the center of the valley floor.,16,12
coercion,La Flesche supported measures such as coercion and punishment to dissuade individuals from alcohol consumption within the Omaha community.,19,12
nut,"(If a 3 does come on the river, the nut low hand becomes A-4 to make 6-4-3-2-A.)",17,12
kingship,"Kingship On 10 August 1258, taking advantage of Conradin's rumoured death, Manfred was crowned King of Sicily at Palermo.",19,12
survive,"While recovering, Roy made numerous sketches of aircraft — many of which survive.",13,12
always,"Always behaving badly with her toys, Humay sees toys in her dream.",12,12
subtlety,"Gardiner notes that it is a very personal setting, ""a movement of extraordinary reticence, delicacy and the utmost tonal subtlety"".",20,12
groom,"After 2 weeks, the groom's friend blackmails Sampath's sister with her first night video.",14,12
lyricism,"He aims for a conversational tone in his lyricism, believing it expresses meaning more directly.",15,12
authorisation,"Monastery In 1156, obtained authorisation from Pope Adrian IV to build a monastery.",13,12
cushion,Her husband worked as a cushion workshop assistant for many years.,11,12
hromadas,"It belongs to Berezhany urban hromada, one of the hromadas of Ukraine.",12,12
prehistory,Also bearing testament to the presence of man in prehistory are the Stalybridge cairns.,14,12
refund,A deposit refund scheme and a small refuse charge would encourage recycling but not at the expense of illegal dumping.,20,12
beet,Dwight instead takes Ryan to his beet farm to both teach and haze him.,14,12
wastewater,"The park features a zero liquid discharge (ZLD) facility, which minimizes environmental impact by treating and recycling wastewater.",18,12
sender,"The pattern of current flow (positive, negative, positive, negative) keeps the receiver synchronized with the sender.",16,12
sulfate,In fact the sulfate ester of the amide is initially produced as an adduct with sulfuric acid ((CH3)2C(OSO3H)C(O)NH2.,18,12
culprit,"They apprehend and jail the culprit, Todd Shelby, after scheming to get George named the town's new sheriff.",18,12
sorting,"Sorting Once commingled recyclates are collected and delivered to a materials recovery facility, the materials must be sorted.",18,12
topless,"It was shot to cash in on the San Francisco ""topless boom"" of the 1960s.",15,12
slump,"The slump was capped off by a 4-game losing streak to end the season at 7–10, which prompted changes.",19,12
matchday,"On the third matchday, Benfica played the game against Spain's Athletic Bilbao.",12,12
jubilee,"The shrine is one of the fourteen jubilee churches in the Diocese of Novaliches, in line with the said celebration.",20,12
bleu,Cordon bleu șnițel (made from pork loin stuffed with cheese and ham) is also very popular.,16,12
six,"Shanaka led Sri Lanka to win the 2022 Asia Cup, the six title the team won.",16,12
epitaph,"It also has the first epitaph written in English, on the tomb of Richard of Wellington a 14th-century priest.",19,12
urbanisation,"Legacy At the time of rapid urbanisation, rows of terraced houses were constructed to accommodate the new urban workers.",19,12
grasshopper,"Arphia xanthoptera, the autumn yellow-winged grasshopper, is a species of band-winged grasshopper in the family Acrididae.",16,12
meme,"In mid-2015, Cena was the subject of the Internet meme ""Unexpected John Cena"", also known as simply ""Unexpected Cena"" or ""IT'S JOHN CENA"".",23,12
tab,"There is no elevator trim tab system, but it may be included as a future factory option.",17,12
crossbar,An in-memory hyperdimensional computing system can implement operations on two memristive crossbar engines together with peripheral digital CMOS circuits.,19,12
scare,"""Yellow peril, red scare: race and communism in National Review.""",10,12
striking,"Strasser controlled the second round with standup striking, though Aram remained competitive.",12,12
loch,History This roughly oval-shaped loch was about southwest of Maybole.,10,12
measles,"Since the outbreak of 1848, there have been six other major outbreaks of measles.",14,12
nwo,Muto would even wear an nWo shirt only to proclaim days later that he refused to join Chono's army.,19,12
electronica,"He started the Funk jazz electronica band Squid, together with bassist Vemund Stavnes.",13,12
telling,"New Noise said the book is ""a frank, deeply honest telling of the Lunachicks’ history, warts and all.""",18,12
introductory,Although it was already in progress when it landed with Motherwell his introductory essay is not without merit.,18,12
sheave,The grooves in the drive sheave are specially designed to prevent the cables from slipping.,15,12
paraphernalia,"MDPV containers were found in their vehicle along with spoons, hypodermic syringes and marijuana paraphernalia.",15,12
guideline,"In 2016, the Centers for Disease Control and Prevention (CDC) published its CDC Guideline for Prescribing Opioids for Chronic Pain.",20,12
reggaeton,"A Spanish language mid-tempo reggaeton song, it is a tribute to early-2000s reggaeton.",13,12
granting,The granting of all settlement statuses is a function of the State Congress.,13,12
versatile,"Architecture LIO implements a modular and extensible architecture around a versatile and highly efficient, parallelized SCSI command processing engine.",19,12
coursework,Students have the opportunity to take Advanced Placement coursework and exams.,11,12
audiobook,"Marianne Mantell, 93, German-born American writer and audiobook executive, co-founder of Caedmon Audio.",13,12
conformity,He maintained that there was conformity and correspondence between the Western philosophy and Iranian society.,15,12
maintain,"Some historic capitals, such as Kyoto, Yogyakarta, and Xi'an, maintain their reflection of cultural identity even without modern capital status.",20,12
hid,The cattle and servants fled and Jan hid under the wagon.,11,12
